location,hour,hourly_avg_pm25
New Delhi-8118,10,53.111111111111114
New Delhi-8118,3,84.55555555555556
New Delhi-8118,22,70.77777777777777
New Delhi-8118,12,50.72222222222222
New Delhi-8118,18,69.05882352941177
New Delhi-8118,0,77.22222222222223
New Delhi-8118,21,68.83333333333333
New Delhi-8118,15,65.33333333333333
New Delhi-8118,8,64.44444444444444
New Delhi-8118,14,57.833333333333336
New Delhi-8118,9,63.05555555555556
New Delhi-8118,6,70.0
New Delhi-8118,13,56.611111111111114
New Delhi-8118,7,68.0
New Delhi-8118,4,89.82352941176471
New Delhi-8118,5,83.05555555555556
New Delhi-8118,19,69.77777777777777
New Delhi-8118,20,69.22222222222223
New Delhi-8118,23,76.22222222222223
New Delhi-8118,2,92.5
New Delhi-8118,11,49.888888888888886
New Delhi-8118,1,83.38888888888889
New Delhi-8118,16,68.61111111111111
New Delhi-8118,17,67.88888888888889
